cement;blast_furnace_slag;fly_ash;water;superplasticizer;coarse_aggregate;fine_aggregate;compressive_strength
540.0;0.0;0.0;162.0;2.5;1040.0;676.0;79.99
540.0;0.0;0.0;162.0;2.5;1055.0;676.0;61.89
380.0;95.0;0.0;228.0;0.0;932.0;594.0;36.45
266.0;114.0;0.0;228.0;0.0;932.0;670.0;45.85
475.0;0.0;0.0;228.0;0.0;932.0;594.0;39.29
198.6;132.4;0.0;192.0;0.0;978.4;825.5;28.02
304.0;76.0;0.0;228.0;0.0;932.0;670.0;47.81
139.6;209.4;0.0;192.0;0.0;1047.0;806.9;28.24
427.5;47.5;0.0;228.0;0.0;932.0;594.0;37.43
237.5;237.5;0.0;228.0;0.0;932.0;594.0;30.08
332.5;142.5;0.0;228.0;0.0;932.0;594.0;33.02
190.0;190.0;0.0;228.0;0.0;932.0;670.0;40.86
485.0;0.0;0.0;146.0;0.0;1120.0;800.0;71.99
374.0;189.2;0.0;170.1;10.1;926.1;756.7;61.09
313.3;262.2;0.0;175.5;8.6;1046.9;611.8;59.80
425.0;106.3;0.0;153.5;16.5;852.1;887.1;60.29
425.0;106.3;0.0;151.4;18.6;936.0;803.7;61.80
375.0;93.8;0.0;126.6;23.4;852.1;992.6;56.70
475.0;118.8;0.0;181.1;8.9;852.1;781.5;68.30
469.0;117.2;0.0;137.8;32.2;852.1;840.5;66.90
425.0;106.3;0.0;153.5;16.5;852.1;887.1;60.29
388.6;97.1;0.0;157.9;12.1;852.1;925.7;50.70
531.3;0.0;0.0;141.8;28.2;852.1;893.7;56.40
425.0;106.3;0.0;153.5;16.5;852.1;887.1;60.29
318.8;212.5;0.0;155.7;14.3;852.1;880.4;55.50
401.8;94.7;0.0;147.4;11.4;946.8;852.1;68.50
362.6;189.0;0.0;164.9;11.6;944.7;755.8;71.30
323.7;282.8;0.0;183.8;10.3;942.7;659.9;74.70
379.5;151.2;0.0;153.9;15.9;1134.3;605.0;52.20
362.6;189.0;0.0;164.9;11.6;944.7;755.8;71.30
286.3;200.9;0.0;144.7;11.2;1004.6;803.7;67.70
362.6;189.0;0.0;164.9;11.6;944.7;755.8;71.30
439.0;177.0;0.0;186.0;11.1;884.9;707.9;66.00
389.9;189.0;0.0;145.9;22.0;944.7;755.8;74.50
362.6;189.0;0.0;164.9;11.6;944.7;755.8;71.30
337.9;189.0;0.0;174.9;9.5;944.7;755.8;49.90
222.4;0.0;96.7;189.3;4.5;967.1;870.3;24.89
233.8;0.0;94.6;197.9;4.6;947.0;852.2;22.84
194.7;0.0;100.5;165.6;7.5;1006.4;905.9;25.72
190.7;0.0;125.4;162.1;7.8;1090.0;804.0;26.40
212.1;0.0;121.6;180.3;5.7;1057.6;779.3;24.90
230.0;0.0;118.3;195.5;4.6;1029.4;758.6;24.48
190.3;0.0;125.2;161.9;9.9;1088.1;802.6;28.47
166.1;0.0;163.3;176.5;4.5;1058.6;780.1;21.54
168.0;42.1;163.8;121.8;5.7;1058.7;780.1;24.24
213.7;98.1;24.5;181.7;6.9;1065.8;785.4;45.71
213.8;98.1;24.5;181.7;6.7;1066.0;785.5;40.23
229.7;0.0;118.2;195.2;6.1;1028.1;757.6;24.54
238.1;0.0;94.1;186.7;7.0;949.9;847.0;30.23
250.0;0.0;95.7;187.4;5.5;956.9;861.2;29.22
212.5;0.0;100.4;159.3;8.7;1007.8;903.6;31.64
212.6;0.0;100.4;159.4;10.4;1003.8;903.8;37.40
212.0;0.0;124.8;159.0;7.8;1085.4;799.5;38.50
231.8;0.0;121.6;174.0;6.7;1056.4;778.5;33.73
251.4;0.0;118.3;188.5;5.8;1028.4;757.7;29.65
251.4;0.0;118.3;188.5;6.4;1028.4;757.7;32.66
181.4;0.0;167.0;169.6;7.6;1055.6;777.8;27.77
182.0;45.2;122.0;170.2;8.2;1059.4;780.7;31.27
168.9;42.2;124.3;158.3;10.8;1080.8;796.2;31.12
290.4;0.0;96.2;168.1;9.4;961.2;865.0;34.74
277.1;0.0;97.4;160.6;11.8;973.9;875.6;48.28
295.7;0.0;95.6;171.5;8.9;955.1;859.2;39.94
251.8;0.0;99.9;146.1;12.4;1006.0;899.8;33.94
249.1;0.0;98.8;158.1;12.8;987.8;889.0;30.85
252.3;0.0;98.8;146.3;14.2;987.8;889.0;50.60
246.8;0.0;125.1;143.3;12.0;1086.8;800.9;52.50
275.1;0.0;121.4;159.5;9.9;1053.6;777.5;51.33
297.2;0.0;117.5;174.8;9.5;1022.8;753.5;47.40
213.7;0.0;174.7;154.8;10.2;1053.5;776.4;40.15
213.5;0.0;174.2;154.6;11.7;1052.3;775.5;45.94
277.2;97.8;24.5;160.7;11.2;1061.7;782.5;63.14
218.2;54.6;123.8;140.8;11.9;1075.7;792.7;55.51
214.9;53.8;121.9;155.6;9.6;1014.3;780.6;52.20
218.9;0.0;124.1;158.5;11.3;1078.7;794.9;30.22
376.0;0.0;0.0;214.6;0.0;1003.5;762.4;31.97
500.0;0.0;0.0;140.0;4.0;966.0;853.0;67.57
475.0;0.0;59.0;142.0;1.9;1098.0;641.0;57.23
315.0;137.0;0.0;145.0;5.9;1130.0;745.0;81.75
505.0;0.0;60.0;195.0;0.0;1030.0;630.0;64.02
451.0;0.0;0.0;165.0;11.3;1030.0;745.0;78.80
516.0;0.0;0.0;162.0;8.2;801.0;802.0;41.37
520.0;0.0;0.0;170.0;5.2;855.0;855.0;60.28
528.0;0.0;0.0;185.0;6.9;920.0;720.0;56.83
520.0;0.0;0.0;175.0;5.2;870.0;805.0;51.02
385.0;0.0;136.0;158.0;20.0;903.0;768.0;55.55
500.1;0.0;0.0;200.0;3.0;1124.4;613.2;44.13
450.1;50.0;0.0;200.0;3.0;1124.4;613.2;39.38
397.0;17.2;158.0;167.0;20.8;967.0;633.0;55.65
333.0;17.5;163.0;167.0;17.9;996.0;652.0;47.28
334.0;17.6;158.0;189.0;15.3;967.0;633.0;44.33
405.0;0.0;0.0;175.0;0.0;1120.0;695.0;52.30
200.0;200.0;0.0;190.0;0.0;1145.0;660.0;49.25
516.0;0.0;0.0;162.0;8.3;801.0;802.0;41.37
145.0;116.0;119.0;184.0;5.7;833.0;880.0;29.16
160.0;128.0;122.0;182.0;6.4;824.0;879.0;39.40
234.0;156.0;0.0;189.0;5.9;981.0;760.0;39.30
250.0;180.0;95.0;159.0;9.5;860.0;800.0;67.87
475.0;0.0;0.0;162.0;9.5;1044.0;662.0;58.52
285.0;190.0;0.0;163.0;7.6;1031.0;685.0;53.58
356.0;119.0;0.0;160.0;9.0;1061.0;657.0;59.00
275.0;180.0;120.0;162.0;10.4;830.0;765.0;76.24
500.0;0.0;0.0;151.0;9.0;1033.0;655.0;69.84
165.0;0.0;143.6;163.8;0.0;1005.6;900.9;26.20
165.0;128.5;132.1;175.1;8.1;1005.8;746.6;46.39
178.0;129.8;118.6;179.9;3.6;1007.3;746.8;39.16
167.4;129.9;128.6;175.5;7.8;1006.3;746.6;41.20
172.4;13.6;172.4;156.8;4.1;1006.3;856.4;33.69
173.5;50.1;173.5;164.8;6.5;1006.2;793.5;38.20
167.0;75.4;167.0;164.0;7.9;1007.3;770.1;41.41
173.8;93.4;159.9;172.3;9.7;1007.2;746.6;37.81
190.3;0.0;125.2;166.6;9.9;1079.0;798.9;24.85
250.0;0.0;95.7;191.8;5.3;948.9;857.2;27.22
213.5;0.0;174.2;159.2;11.7;1043.6;771.9;44.64
194.7;0.0;100.5;170.2;7.5;998.0;901.8;37.27
251.4;0.0;118.3;192.9;5.8;1043.6;754.3;33.27
446.0;24.0;79.0;162.0;11.6;967.0;712.0;57.03
446.0;24.0;79.0;162.0;11.6;967.0;712.0;44.42
446.0;24.0;79.0;162.0;11.6;967.0;712.0;51.02
446.0;24.0;79.0;162.0;10.3;967.0;712.0;53.39
387.0;20.0;94.0;157.0;14.3;938.0;845.0;50.24
387.0;20.0;94.0;157.0;13.9;938.0;845.0;46.68
387.0;20.0;94.0;157.0;11.6;938.0;845.0;46.68
355.0;19.0;97.0;145.0;13.1;967.0;871.0;44.03
355.0;19.0;97.0;145.0;12.3;967.0;871.0;55.45
491.0;26.0;123.0;210.0;3.9;882.0;699.0;55.55
491.0;26.0;123.0;201.0;3.9;822.0;699.0;57.92
424.0;22.0;132.0;178.0;8.5;822.0;750.0;62.05
424.0;22.0;132.0;168.0;8.9;822.0;750.0;72.10
202.0;11.0;141.0;206.0;1.7;942.0;801.0;21.97
284.0;15.0;141.0;179.0;5.5;842.0;801.0;43.73
359.0;19.0;141.0;154.0;10.9;942.0;801.0;62.94
359.0;19.0;141.0;154.0;10.9;942.0;801.0;59.49
436.0;0.0;0.0;218.0;0.0;838.4;719.7;23.85
393.0;0.0;0.0;192.0;0.0;940.6;785.6;39.60
480.0;0.0;0.0;192.0;0.0;936.2;712.2;43.94
255.0;0.0;0.0;192.0;0.0;889.8;945.0;18.75
333.0;0.0;0.0;192.0;0.0;931.2;842.6;31.97
289.0;0.0;0.0;192.0;0.0;913.2;895.3;25.57
181.9;272.8;0.0;185.7;0.0;1012.4;714.3;27.94
193.5;290.2;0.0;185.7;0.0;998.2;704.3;32.63
239.6;359.4;0.0;185.7;0.0;941.6;664.3;39.44
220.8;147.2;0.0;185.7;0.0;1055.0;744.3;25.75
397.0;0.0;0.0;185.7;0.0;1040.6;734.3;33.08
158.8;238.2;0.0;185.7;0.0;1040.6;734.3;21.07
255.5;170.3;0.0;185.7;0.0;1026.6;724.3;32.05
381.4;0.0;0.0;185.7;0.0;1104.6;784.3;22.49
295.8;0.0;0.0;185.7;0.0;1091.4;769.3;25.22
228.0;342.1;0.0;185.7;0.0;955.8;674.3;39.70
316.1;210.7;0.0;185.7;0.0;977.0;689.3;38.70
238.1;0.0;0.0;185.7;0.0;1118.8;789.3;17.58
135.7;203.5;0.0;185.7;0.0;1076.2;759.3;18.20
203.5;135.7;0.0;185.7;0.0;1076.2;759.3;22.63
170.3;155.5;0.0;185.7;0.0;1026.6;724.3;25.73
210.7;316.1;0.0;185.7;0.0;977.0;689.3;37.81
290.2;193.5;0.0;185.7;0.0;998.2;704.3;33.04
238.2;158.8;0.0;185.7;0.0;1040.6;734.3;26.91
339.2;0.0;0.0;185.7;0.0;1069.2;754.3;31.90
252.5;0.0;0.0;185.7;0.0;1111.6;784.3;19.77
382.5;0.0;0.0;185.7;0.0;1047.8;739.3;37.44
186.2;124.1;0.0;185.7;0.0;1083.4;764.3;17.60
272.8;181.9;0.0;185.7;0.0;1012.4;714.3;31.38
339.0;0.0;0.0;197.0;0.0;968.0;781.0;32.04
236.0;0.0;0.0;194.0;0.0;968.0;885.0;18.42
277.0;0.0;0.0;191.0;0.0;968.0;856.0;25.97
307.0;0.0;0.0;193.0;0.0;968.0;812.0;27.53
200.0;0.0;0.0;180.0;0.0;1125.0;845.0;12.25
225.0;0.0;0.0;181.0;0.0;1113.0;833.0;17.34
325.0;0.0;0.0;184.0;0.0;1063.0;783.0;30.57
275.0;0.0;0.0;183.0;0.0;1088.0;808.0;24.50
300.0;0.0;0.0;184.0;0.0;1075.0;795.0;26.85
375.0;0.0;0.0;186.0;0.0;1038.0;758.0;38.21
400.0;0.0;0.0;187.0;0.0;1025.0;745.0;43.70
